method,group,agent,split_type,split,record_level,n,n_present,compile,sa_pass_soft,sa_pass
Claude Code (Opus 4.8),Agentic,,category,probability,,20,20,5.0,0.0,0.0
Claude Code (Opus 4.8),Agentic,,category,topology,,25,25,8.0,2.0,0.0
Claude Code (Opus 4.8) + Numina,Agentic,Numina-Lean-Agent,all,all,,178,178,61.8,18.3,11.2
Claude Code (Opus 4.8) + Numina,Agentic,Numina-Lean-Agent,level,L1,L2,113,113,61.1,13.3,6.2
Claude Code (Opus 4.8) + Numina,Agentic,Numina-Lean-Agent,level,L2,L3,52,52,71.2,31.7,23.1
Claude Code (Opus 4.8) + Numina,Agentic,Numina-Lean-Agent,level,L3,L4,13,13,30.8,7.7,7.7
Claude Code (Opus 4.8) + Numina,Agentic,Numina-Lean-Agent,category,algebra,,26,26,73.1,13.5,7.7
Claude Code (Opus 4.8) + Numina,Agentic,Numina-Lean-Agent,category,algebraic-geometry,,22,22,68.2,20.5,13.6
Claude Code (Opus 4.8) + Numina,Agentic,Numina-Lean-Agent,category,analysis,,28,28,67.9,33.9,25.0
Claude Code (Opus 4.8) + Numina,Agentic,Numina-Lean-Agent,category,combinatorics,,14,14,71.4,35.7,28.6
Claude Code (Opus 4.8) + Numina,Agentic,Numina-Lean-Agent,category,geometry,,24,24,62.5,16.7,0.0
Claude Code (Opus 4.8) + Numina,Agentic,Numina-Lean-Agent,category,number-theory,,19,19,36.8,0.0,0.0
Claude Code (Opus 4.8) + Numina,Agentic,Numina-Lean-Agent,category,probability,,20,20,65.0,0.0,0.0
Claude Code (Opus 4.8) + Numina,Agentic,Numina-Lean-Agent,category,topology,,25,25,48.0,24.0,16.0
Claude Code (Qwen3 235B),Agentic,,all,all,,178,178,5.1,0.8,0.6
Claude Code (Qwen3 235B),Agentic,,level,L1,L2,113,113,4.4,1.3,0.9
Claude Code (Qwen3 235B),Agentic,,level,L2,L3,52,52,5.8,0.0,0.0
Claude Code (Qwen3 235B),Agentic,,level,L3,L4,13,13,7.7,0.0,0.0
Claude Code (Qwen3 235B),Agentic,,category,algebra,,26,26,11.5,0.0,0.0
Claude Code (Qwen3 235B),Agentic,,category,algebraic-geometry,,22,22,4.5,0.0,0.0
Claude Code (Qwen3 235B),Agentic,,category,analysis,,28,28,3.6,0.0,0.0
Claude Code (Qwen3 235B),Agentic,,category,combinatorics,,14,14,7.1,0.0,0.0
Claude Code (Qwen3 235B),Agentic,,category,geometry,,24,24,4.2,2.1,0.0
Claude Code (Qwen3 235B),Agentic,,category,number-theory,,19,19,0.0,0.0,0.0
Claude Code (Qwen3 235B),Agentic,,category,probability,,20,20,0.0,0.0,0.0
Claude Code (Qwen3 235B),Agentic,,category,topology,,25,25,8.0,4.0,4.0
Claude Code (Qwen3 235B) + Numina,Agentic,Numina-Lean-Agent,all,all,,178,178,6.7,0.8,0.6
Claude Code (Qwen3 235B) + Numina,Agentic,Numina-Lean-Agent,level,L1,L2,113,113,8.8,1.3,0.9
Claude Code (Qwen3 235B) + Numina,Agentic,Numina-Lean-Agent,level,L2,L3,52,52,3.8,0.0,0.0
Claude Code (Qwen3 235B) + Numina,Agentic,Numina-Lean-Agent,level,L3,L4,13,13,0.0,0.0,0.0
Claude Code (Qwen3 235B) + Numina,Agentic,Numina-Lean-Agent,category,algebra,,26,26,7.7,0.0,0.0
Claude Code (Qwen3 235B) + Numina,Agentic,Numina-Lean-Agent,category,algebraic-geometry,,22,22,4.5,0.0,0.0
Claude Code (Qwen3 235B) + Numina,Agentic,Numina-Lean-Agent,category,analysis,,28,28,14.3,0.0,0.0
Claude Code (Qwen3 235B) + Numina,Agentic,Numina-Lean-Agent,category,combinatorics,,14,14,0.0,0.0,0.0
Claude Code (Qwen3 235B) + Numina,Agentic,Numina-Lean-Agent,category,geometry,,24,24,8.3,0.0,0.0
Claude Code (Qwen3 235B) + Numina,Agentic,Numina-Lean-Agent,category,number-theory,,19,19,0.0,0.0,0.0
Claude Code (Qwen3 235B) + Numina,Agentic,Numina-Lean-Agent,category,probability,,20,20,0.0,0.0,0.0
Claude Code (Qwen3 235B) + Numina,Agentic,Numina-Lean-Agent,category,topology,,25,25,12.0,6.0,4.0
Codex (GPT-5.4),Agentic,,all,all,,178,178,16.9,3.4,2.2
Codex (GPT-5.4),Agentic,,level,L1,L2,113,113,20.4,4.4,2.7
Codex (GPT-5.4),Agentic,,level,L2,L3,52,52,11.5,1.9,1.9
Codex (GPT-5.4),Agentic,,level,L3,L4,13,13,7.7,0.0,0.0
Codex (GPT-5.4),Agentic,,category,algebra,,26,26,3.8,0.0,0.0
Codex (GPT-5.4),Agentic,,category,algebraic-geometry,,22,22,9.1,0.0,0.0
Codex (GPT-5.4),Agentic,,category,analysis,,28,28,21.4,10.7,10.7
Codex (GPT-5.4),Agentic,,category,combinatorics,,14,14,14.3,0.0,0.0
Codex (GPT-5.4),Agentic,,category,geometry,,24,24,20.8,2.1,0.0
Codex (GPT-5.4),Agentic,,category,number-theory,,19,19,26.3,0.0,0.0
Codex (GPT-5.4),Agentic,,category,probability,,20,20,20.0,0.0,0.0
Codex (GPT-5.4),Agentic,,category,topology,,25,25,20.0,10.0,4.0
Codex (GPT-5.4) + Numina,Agentic,Numina-Lean-Agent,all,all,,178,178,55.6,16.9,10.1
Codex (GPT-5.4) + Numina,Agentic,Numina-Lean-Agent,level,L1,L2,113,113,61.9,15.9,8.8
Codex (GPT-5.4) + Numina,Agentic,Numina-Lean-Agent,level,L2,L3,52,52,48.1,21.2,13.5
Codex (GPT-5.4) + Numina,Agentic,Numina-Lean-Agent,level,L3,L4,13,13,30.8,7.7,7.7
Codex (GPT-5.4) + Numina,Agentic,Numina-Lean-Agent,category,algebra,,26,26,65.4,19.2,11.5
Codex (GPT-5.4) + Numina,Agentic,Numina-Lean-Agent,category,algebraic-geometry,,22,22,40.9,11.4,4.5
Codex (GPT-5.4) + Numina,Agentic,Numina-Lean-Agent,category,analysis,,28,28,53.6,32.1,25.0
Codex (GPT-5.4) + Numina,Agentic,Numina-Lean-Agent,category,combinatorics,,14,14,57.1,21.4,14.3
Codex (GPT-5.4) + Numina,Agentic,Numina-Lean-Agent,category,geometry,,24,24,75.0,16.7,4.2
Codex (GPT-5.4) + Numina,Agentic,Numina-Lean-Agent,category,number-theory,,19,19,26.3,5.3,5.3
Codex (GPT-5.4) + Numina,Agentic,Numina-Lean-Agent,category,probability,,20,20,90.0,2.5,0.0
Codex (GPT-5.4) + Numina,Agentic,Numina-Lean-Agent,category,topology,,25,25,36.0,20.0,12.0
Claude Opus 4.6,Closed-source,,all,all,,178,178,1.1,0.0,0.0
Claude Opus 4.6,Closed-source,,level,L1,L2,113,113,1.8,0.0,0.0
Claude Opus 4.6,Closed-source,,level,L2,L3,52,52,0.0,0.0,0.0
Claude Opus 4.6,Closed-source,,level,L3,L4,13,13,0.0,0.0,0.0
Claude Opus 4.6,Closed-source,,category,algebra,,26,26,3.8,0.0,0.0
Claude Opus 4.6,Closed-source,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
Claude Opus 4.6,Closed-source,,category,analysis,,28,28,0.0,0.0,0.0
Claude Opus 4.6,Closed-source,,category,combinatorics,,14,14,7.1,0.0,0.0
Claude Opus 4.6,Closed-source,,category,geometry,,24,24,0.0,0.0,0.0
Claude Opus 4.6,Closed-source,,category,number-theory,,19,19,0.0,0.0,0.0
Claude Opus 4.6,Closed-source,,category,probability,,20,20,0.0,0.0,0.0
Claude Opus 4.6,Closed-source,,category,topology,,25,25,0.0,0.0,0.0
Claude Sonnet 4.6,Closed-source,,all,all,,178,178,0.6,0.0,0.0
Claude Sonnet 4.6,Closed-source,,level,L1,L2,113,113,0.9,0.0,0.0
Claude Sonnet 4.6,Closed-source,,level,L2,L3,52,52,0.0,0.0,0.0
Claude Sonnet 4.6,Closed-source,,level,L3,L4,13,13,0.0,0.0,0.0
Claude Sonnet 4.6,Closed-source,,category,algebra,,26,26,0.0,0.0,0.0
Claude Sonnet 4.6,Closed-source,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
Claude Sonnet 4.6,Closed-source,,category,analysis,,28,28,0.0,0.0,0.0
Claude Sonnet 4.6,Closed-source,,category,combinatorics,,14,14,7.1,0.0,0.0
Claude Sonnet 4.6,Closed-source,,category,geometry,,24,24,0.0,0.0,0.0
Claude Sonnet 4.6,Closed-source,,category,number-theory,,19,19,0.0,0.0,0.0
Claude Sonnet 4.6,Closed-source,,category,probability,,20,20,0.0,0.0,0.0
Claude Sonnet 4.6,Closed-source,,category,topology,,25,25,0.0,0.0,0.0
Claude Haiku 4.5,Closed-source,,all,all,,178,178,0.6,0.3,0.0
Claude Haiku 4.5,Closed-source,,level,L1,L2,113,113,0.9,0.4,0.0
Claude Haiku 4.5,Closed-source,,level,L2,L3,52,52,0.0,0.0,0.0
Claude Haiku 4.5,Closed-source,,level,L3,L4,13,13,0.0,0.0,0.0
Claude Haiku 4.5,Closed-source,,category,algebra,,26,26,0.0,0.0,0.0
Claude Haiku 4.5,Closed-source,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
Claude Haiku 4.5,Closed-source,,category,analysis,,28,28,0.0,0.0,0.0
Claude Haiku 4.5,Closed-source,,category,combinatorics,,14,14,7.1,3.6,0.0
Claude Haiku 4.5,Closed-source,,category,geometry,,24,24,0.0,0.0,0.0
Claude Haiku 4.5,Closed-source,,category,number-theory,,19,19,0.0,0.0,0.0
Claude Haiku 4.5,Closed-source,,category,probability,,20,20,0.0,0.0,0.0
Claude Haiku 4.5,Closed-source,,category,topology,,25,25,0.0,0.0,0.0
GPT-5.4,Closed-source,,all,all,,178,178,3.4,0.3,0.0
GPT-5.4,Closed-source,,level,L1,L2,113,113,1.8,0.4,0.0
GPT-5.4,Closed-source,,level,L2,L3,52,52,5.8,0.0,0.0
GPT-5.4,Closed-source,,level,L3,L4,13,13,7.7,0.0,0.0
GPT-5.4,Closed-source,,category,algebra,,26,26,3.8,0.0,0.0
GPT-5.4,Closed-source,,category,algebraic-geometry,,22,22,9.1,0.0,0.0
GPT-5.4,Closed-source,,category,analysis,,28,28,0.0,0.0,0.0
GPT-5.4,Closed-source,,category,combinatorics,,14,14,7.1,3.6,0.0
GPT-5.4,Closed-source,,category,geometry,,24,24,8.3,0.0,0.0
GPT-5.4,Closed-source,,category,number-theory,,19,19,0.0,0.0,0.0
GPT-5.4,Closed-source,,category,probability,,20,20,0.0,0.0,0.0
GPT-5.4,Closed-source,,category,topology,,25,25,0.0,0.0,0.0
GPT-5.4 mini,Closed-source,,all,all,,178,178,9.0,0.3,0.0
GPT-5.4 mini,Closed-source,,level,L1,L2,113,113,8.8,0.4,0.0
GPT-5.4 mini,Closed-source,,level,L2,L3,52,52,3.8,0.0,0.0
GPT-5.4 mini,Closed-source,,level,L3,L4,13,13,30.8,0.0,0.0
GPT-5.4 mini,Closed-source,,category,algebra,,26,26,0.0,0.0,0.0
GPT-5.4 mini,Closed-source,,category,algebraic-geometry,,22,22,9.1,0.0,0.0
GPT-5.4 mini,Closed-source,,category,analysis,,28,28,7.1,0.0,0.0
GPT-5.4 mini,Closed-source,,category,combinatorics,,14,14,7.1,0.0,0.0
GPT-5.4 mini,Closed-source,,category,geometry,,24,24,12.5,0.0,0.0
GPT-5.4 mini,Closed-source,,category,number-theory,,19,19,15.8,0.0,0.0
GPT-5.4 mini,Closed-source,,category,probability,,20,20,20.0,0.0,0.0
GPT-5.4 mini,Closed-source,,category,topology,,25,25,4.0,2.0,0.0
GPT-5.4 nano,Closed-source,,all,all,,178,178,6.7,0.0,0.0
GPT-5.4 nano,Closed-source,,level,L1,L2,113,113,6.2,0.0,0.0
GPT-5.4 nano,Closed-source,,level,L2,L3,52,52,5.8,0.0,0.0
GPT-5.4 nano,Closed-source,,level,L3,L4,13,13,15.4,0.0,0.0
GPT-5.4 nano,Closed-source,,category,algebra,,26,26,0.0,0.0,0.0
GPT-5.4 nano,Closed-source,,category,algebraic-geometry,,22,22,9.1,0.0,0.0
GPT-5.4 nano,Closed-source,,category,analysis,,28,28,0.0,0.0,0.0
GPT-5.4 nano,Closed-source,,category,combinatorics,,14,14,14.3,0.0,0.0
GPT-5.4 nano,Closed-source,,category,geometry,,24,24,12.5,0.0,0.0
GPT-5.4 nano,Closed-source,,category,number-theory,,19,19,10.5,0.0,0.0
GPT-5.4 nano,Closed-source,,category,probability,,20,20,15.0,0.0,0.0
GPT-5.4 nano,Closed-source,,category,topology,,25,25,0.0,0.0,0.0
Gemini 3.1 Pro,Closed-source,,all,all,,178,178,1.7,0.0,0.0
Gemini 3.1 Pro,Closed-source,,level,L1,L2,113,113,0.9,0.0,0.0
Gemini 3.1 Pro,Closed-source,,level,L2,L3,52,52,0.0,0.0,0.0
Gemini 3.1 Pro,Closed-source,,level,L3,L4,13,13,15.4,0.0,0.0
Gemini 3.1 Pro,Closed-source,,category,algebra,,26,26,3.8,0.0,0.0
Gemini 3.1 Pro,Closed-source,,category,algebraic-geometry,,22,22,4.5,0.0,0.0
Gemini 3.1 Pro,Closed-source,,category,analysis,,28,28,0.0,0.0,0.0
Gemini 3.1 Pro,Closed-source,,category,combinatorics,,14,14,7.1,0.0,0.0
Gemini 3.1 Pro,Closed-source,,category,geometry,,24,24,0.0,0.0,0.0
Gemini 3.1 Pro,Closed-source,,category,number-theory,,19,19,0.0,0.0,0.0
Gemini 3.1 Pro,Closed-source,,category,probability,,20,20,0.0,0.0,0.0
Gemini 3.1 Pro,Closed-source,,category,topology,,25,25,0.0,0.0,0.0
Gemini 2.5 Flash,Closed-source,,all,all,,178,178,0.6,0.3,0.0
Gemini 2.5 Flash,Closed-source,,level,L1,L2,113,113,0.9,0.4,0.0
Gemini 2.5 Flash,Closed-source,,level,L2,L3,52,52,0.0,0.0,0.0
Gemini 2.5 Flash,Closed-source,,level,L3,L4,13,13,0.0,0.0,0.0
Gemini 2.5 Flash,Closed-source,,category,algebra,,26,26,0.0,0.0,0.0
Gemini 2.5 Flash,Closed-source,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
Gemini 2.5 Flash,Closed-source,,category,analysis,,28,28,0.0,0.0,0.0
Gemini 2.5 Flash,Closed-source,,category,combinatorics,,14,14,7.1,3.6,0.0
Gemini 2.5 Flash,Closed-source,,category,geometry,,24,24,0.0,0.0,0.0
Gemini 2.5 Flash,Closed-source,,category,number-theory,,19,19,0.0,0.0,0.0
Gemini 2.5 Flash,Closed-source,,category,probability,,20,20,0.0,0.0,0.0
Gemini 2.5 Flash,Closed-source,,category,topology,,25,25,0.0,0.0,0.0
GPT-OSS-120B,Open-source,,all,all,,178,178,0.6,0.3,0.0
GPT-OSS-120B,Open-source,,level,L1,L2,113,113,0.9,0.4,0.0
GPT-OSS-120B,Open-source,,level,L2,L3,52,52,0.0,0.0,0.0
GPT-OSS-120B,Open-source,,level,L3,L4,13,13,0.0,0.0,0.0
GPT-OSS-120B,Open-source,,category,algebra,,26,26,0.0,0.0,0.0
GPT-OSS-120B,Open-source,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
GPT-OSS-120B,Open-source,,category,analysis,,28,28,0.0,0.0,0.0
GPT-OSS-120B,Open-source,,category,combinatorics,,14,14,7.1,3.6,0.0
GPT-OSS-120B,Open-source,,category,geometry,,24,24,0.0,0.0,0.0
GPT-OSS-120B,Open-source,,category,number-theory,,19,19,0.0,0.0,0.0
GPT-OSS-120B,Open-source,,category,probability,,20,20,0.0,0.0,0.0
GPT-OSS-120B,Open-source,,category,topology,,25,25,0.0,0.0,0.0
GPT-OSS-20B,Open-source,,all,all,,178,178,2.8,0.3,0.0
GPT-OSS-20B,Open-source,,level,L1,L2,113,113,3.5,0.4,0.0
GPT-OSS-20B,Open-source,,level,L2,L3,52,52,1.9,0.0,0.0
GPT-OSS-20B,Open-source,,level,L3,L4,13,13,0.0,0.0,0.0
GPT-OSS-20B,Open-source,,category,algebra,,26,26,3.8,0.0,0.0
GPT-OSS-20B,Open-source,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
GPT-OSS-20B,Open-source,,category,analysis,,28,28,3.6,0.0,0.0
GPT-OSS-20B,Open-source,,category,combinatorics,,14,14,7.1,3.6,0.0
GPT-OSS-20B,Open-source,,category,geometry,,24,24,4.2,0.0,0.0
GPT-OSS-20B,Open-source,,category,number-theory,,19,19,0.0,0.0,0.0
GPT-OSS-20B,Open-source,,category,probability,,20,20,0.0,0.0,0.0
GPT-OSS-20B,Open-source,,category,topology,,25,25,4.0,0.0,0.0
DeepSeek R1 0528,Open-source,,all,all,,178,134,0.6,0.0,0.0
DeepSeek R1 0528,Open-source,,level,L1,L2,113,69,0.9,0.0,0.0
DeepSeek R1 0528,Open-source,,level,L2,L3,52,52,0.0,0.0,0.0
DeepSeek R1 0528,Open-source,,level,L3,L4,13,13,0.0,0.0,0.0
DeepSeek R1 0528,Open-source,,category,algebra,,26,26,0.0,0.0,0.0
DeepSeek R1 0528,Open-source,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
DeepSeek R1 0528,Open-source,,category,analysis,,28,28,0.0,0.0,0.0
DeepSeek R1 0528,Open-source,,category,combinatorics,,14,6,0.0,0.0,0.0
DeepSeek R1 0528,Open-source,,category,geometry,,24,24,0.0,0.0,0.0
DeepSeek R1 0528,Open-source,,category,number-theory,,19,2,0.0,0.0,0.0
DeepSeek R1 0528,Open-source,,category,probability,,20,1,0.0,0.0,0.0
DeepSeek R1 0528,Open-source,,category,topology,,25,25,4.0,0.0,0.0
DeepSeek V3.2,Open-source,,all,all,,178,178,0.0,0.0,0.0
DeepSeek V3.2,Open-source,,level,L1,L2,113,113,0.0,0.0,0.0
DeepSeek V3.2,Open-source,,level,L2,L3,52,52,0.0,0.0,0.0
DeepSeek V3.2,Open-source,,level,L3,L4,13,13,0.0,0.0,0.0
DeepSeek V3.2,Open-source,,category,algebra,,26,26,0.0,0.0,0.0
DeepSeek V3.2,Open-source,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
DeepSeek V3.2,Open-source,,category,analysis,,28,28,0.0,0.0,0.0
DeepSeek V3.2,Open-source,,category,combinatorics,,14,14,0.0,0.0,0.0
DeepSeek V3.2,Open-source,,category,geometry,,24,24,0.0,0.0,0.0
DeepSeek V3.2,Open-source,,category,number-theory,,19,19,0.0,0.0,0.0
DeepSeek V3.2,Open-source,,category,probability,,20,20,0.0,0.0,0.0
DeepSeek V3.2,Open-source,,category,topology,,25,25,0.0,0.0,0.0
Qwen3 235B,Open-source,,all,all,,178,178,0.0,0.0,0.0
Qwen3 235B,Open-source,,level,L1,L2,113,113,0.0,0.0,0.0
Qwen3 235B,Open-source,,level,L2,L3,52,52,0.0,0.0,0.0
Qwen3 235B,Open-source,,level,L3,L4,13,13,0.0,0.0,0.0
Qwen3 235B,Open-source,,category,algebra,,26,26,0.0,0.0,0.0
Qwen3 235B,Open-source,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
Qwen3 235B,Open-source,,category,analysis,,28,28,0.0,0.0,0.0
Qwen3 235B,Open-source,,category,combinatorics,,14,14,0.0,0.0,0.0
Qwen3 235B,Open-source,,category,geometry,,24,24,0.0,0.0,0.0
Qwen3 235B,Open-source,,category,number-theory,,19,19,0.0,0.0,0.0
Qwen3 235B,Open-source,,category,probability,,20,20,0.0,0.0,0.0
Qwen3 235B,Open-source,,category,topology,,25,25,0.0,0.0,0.0
Qwen3-coder,Open-source,,all,all,,178,178,0.0,0.0,0.0
Qwen3-coder,Open-source,,level,L1,L2,113,113,0.0,0.0,0.0
Qwen3-coder,Open-source,,level,L2,L3,52,52,0.0,0.0,0.0
Qwen3-coder,Open-source,,level,L3,L4,13,13,0.0,0.0,0.0
Qwen3-coder,Open-source,,category,algebra,,26,26,0.0,0.0,0.0
Qwen3-coder,Open-source,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
Qwen3-coder,Open-source,,category,analysis,,28,28,0.0,0.0,0.0
Qwen3-coder,Open-source,,category,combinatorics,,14,14,0.0,0.0,0.0
Qwen3-coder,Open-source,,category,geometry,,24,24,0.0,0.0,0.0
Qwen3-coder,Open-source,,category,number-theory,,19,19,0.0,0.0,0.0
Qwen3-coder,Open-source,,category,probability,,20,20,0.0,0.0,0.0
Qwen3-coder,Open-source,,category,topology,,25,25,0.0,0.0,0.0
Llama3.1 70b,Open-source,,all,all,,178,178,0.0,0.0,0.0
Llama3.1 70b,Open-source,,level,L1,L2,113,113,0.0,0.0,0.0
Llama3.1 70b,Open-source,,level,L2,L3,52,52,0.0,0.0,0.0
Llama3.1 70b,Open-source,,level,L3,L4,13,13,0.0,0.0,0.0
Llama3.1 70b,Open-source,,category,algebra,,26,26,0.0,0.0,0.0
Llama3.1 70b,Open-source,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
Llama3.1 70b,Open-source,,category,analysis,,28,28,0.0,0.0,0.0
Llama3.1 70b,Open-source,,category,combinatorics,,14,14,0.0,0.0,0.0
Llama3.1 70b,Open-source,,category,geometry,,24,24,0.0,0.0,0.0
Llama3.1 70b,Open-source,,category,number-theory,,19,19,0.0,0.0,0.0
Llama3.1 70b,Open-source,,category,probability,,20,20,0.0,0.0,0.0
Llama3.1 70b,Open-source,,category,topology,,25,25,0.0,0.0,0.0
Llama3.1 8b,Open-source,,all,all,,178,178,0.0,0.0,0.0
Llama3.1 8b,Open-source,,level,L1,L2,113,113,0.0,0.0,0.0
Llama3.1 8b,Open-source,,level,L2,L3,52,52,0.0,0.0,0.0
Llama3.1 8b,Open-source,,level,L3,L4,13,13,0.0,0.0,0.0
Llama3.1 8b,Open-source,,category,algebra,,26,26,0.0,0.0,0.0
Llama3.1 8b,Open-source,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
Llama3.1 8b,Open-source,,category,analysis,,28,28,0.0,0.0,0.0
Llama3.1 8b,Open-source,,category,combinatorics,,14,14,0.0,0.0,0.0
Llama3.1 8b,Open-source,,category,geometry,,24,24,0.0,0.0,0.0
Llama3.1 8b,Open-source,,category,number-theory,,19,19,0.0,0.0,0.0
Llama3.1 8b,Open-source,,category,probability,,20,20,0.0,0.0,0.0
Llama3.1 8b,Open-source,,category,topology,,25,25,0.0,0.0,0.0
Kimina 7B→8B,Lean-specialized,,all,all,,178,178,0.6,0.0,0.0
Kimina 7B→8B,Lean-specialized,,level,L1,L2,113,113,0.0,0.0,0.0
Kimina 7B→8B,Lean-specialized,,level,L2,L3,52,52,1.9,0.0,0.0
Kimina 7B→8B,Lean-specialized,,level,L3,L4,13,13,0.0,0.0,0.0
Kimina 7B→8B,Lean-specialized,,category,algebra,,26,26,0.0,0.0,0.0
Kimina 7B→8B,Lean-specialized,,category,algebraic-geometry,,22,22,4.5,0.0,0.0
Kimina 7B→8B,Lean-specialized,,category,analysis,,28,28,0.0,0.0,0.0
Kimina 7B→8B,Lean-specialized,,category,combinatorics,,14,14,0.0,0.0,0.0
Kimina 7B→8B,Lean-specialized,,category,geometry,,24,24,0.0,0.0,0.0
Kimina 7B→8B,Lean-specialized,,category,number-theory,,19,19,0.0,0.0,0.0
Kimina 7B→8B,Lean-specialized,,category,probability,,20,20,0.0,0.0,0.0
Kimina 7B→8B,Lean-specialized,,category,topology,,25,25,0.0,0.0,0.0
Goedel 8B→32B,Lean-specialized,,all,all,,178,178,0.0,0.0,0.0
Goedel 8B→32B,Lean-specialized,,level,L1,L2,113,113,0.0,0.0,0.0
Goedel 8B→32B,Lean-specialized,,level,L2,L3,52,52,0.0,0.0,0.0
Goedel 8B→32B,Lean-specialized,,level,L3,L4,13,13,0.0,0.0,0.0
Goedel 8B→32B,Lean-specialized,,category,algebra,,26,26,0.0,0.0,0.0
Goedel 8B→32B,Lean-specialized,,category,algebraic-geometry,,22,22,0.0,0.0,0.0
Goedel 8B→32B,Lean-specialized,,category,analysis,,28,28,0.0,0.0,0.0
Goedel 8B→32B,Lean-specialized,,category,combinatorics,,14,14,0.0,0.0,0.0
Goedel 8B→32B,Lean-specialized,,category,geometry,,24,24,0.0,0.0,0.0
Goedel 8B→32B,Lean-specialized,,category,number-theory,,19,19,0.0,0.0,0.0
Goedel 8B→32B,Lean-specialized,,category,probability,,20,20,0.0,0.0,0.0
Goedel 8B→32B,Lean-specialized,,category,topology,,25,25,0.0,0.0,0.0
Goedel 8B→8B,Lean-specialized,,all,all,,178,178,0.0,0.0,0.0
